"","Longitude","Latitude","./alt23_pha.bil","./bio1_pha.bil","./bio10_pha.bil","./bio11_pha.bil","./bio12_pha.bil","./bio13_pha.bil","./bio14_pha.bil","./bio15_pha.bil","./bio16_pha.bil","./bio17_pha.bil","./bio18_pha.bil","./bio19_pha.bil","./bio2_pha.bil","./bio3_pha.bil","./bio3_xeno.bil","./bio4_pha.bil","./bio4_xeno.bil","./bio5_pha.bil","./bio6_pha.bil","./bio7_pha.bil","./bio8_pha.bil","./bio9_pha.bil"
"./bio2_pha.bil",-0.488610008952159,0.38519982539375,0.425403040749604,-0.348776967319169,-0.246568738900382,-0.496696574427269,-0.635224423621621,-0.61493705415111,-0.526483241096851,0.503117213558103,-0.605506702510429,-0.54401047815613,-0.666656572019943,-0.575257903133462,1,-0.201957446915651,-0.201957446915651,0.45553696740043,0.45553696740043,0.139362245809821,-0.683619158460224,0.907606543462645,-0.274165681227903,-0.361622736840801
"./bio3_pha.bil",0.756234144265832,-0.880235945363771,0.211225176702753,-0.285570967777337,-0.386160595130117,0.0236531942022879,0.528499752833312,0.448659180618341,0.458887792594476,-0.308381613290926,0.432395283342457,0.491436213277678,0.14990936651038,0.564174175385882,-0.201957446915651,1,1,-0.8525576185601,-0.8525576185601,-0.515236099472688,0.0854796652878845,-0.591750679326786,-0.424193890932764,-0.136051872709368
"./bio3_xeno.bil",0.756234144265832,-0.880235945363771,0.211225176702753,-0.285570967777337,-0.386160595130117,0.0236531942022879,0.528499752833312,0.448659180618341,0.458887792594476,-0.308381613290926,0.432395283342457,0.491436213277678,0.14990936651038,0.564174175385882,-0.201957446915651,1,1,-0.8525576185601,-0.8525576185601,-0.515236099472688,0.0854796652878845,-0.591750679326786,-0.424193890932764,-0.136051872709368
"./bio4_pha.bil",-0.876217963667243,0.9404290464809,-0.0626527535298513,0.16801115666663,0.300569567809581,-0.183023636408537,-0.639646016151754,-0.642072893811009,-0.407114523928101,0.21512236504142,-0.628588901753319,-0.443277769688363,-0.313619243707646,-0.568052434212572,0.45553696740043,-0.8525576185601,-0.8525576185601,1,1,0.476825758497561,-0.253140615496699,0.744606262295347,0.237178987573454,0.057689707143835
"./bio4_xeno.bil",-0.876217963667243,0.9404290464809,-0.0626527535298513,0.16801115666663,0.300569567809581,-0.183023636408537,-0.639646016151754,-0.642072893811009,-0.407114523928101,0.21512236504142,-0.628588901753319,-0.443277769688363,-0.313619243707646,-0.568052434212572,0.45553696740043,-0.8525576185601,-0.8525576185601,1,1,0.476825758497561,-0.253140615496699,0.744606262295347,0.237178987573454,0.057689707143835
"./bio5_pha.bil",-0.349558888906649,0.42664721010832,-0.773074334676654,0.865971202811703,0.917781195753751,0.702053108702537,-0.175229647850307,-0.27294414301847,0.0628201905411138,-0.151636455238636,-0.282153878165461,0.0419057179982656,-0.0267392652281022,-0.0273612690165241,0.139362245809821,-0.515236099472688,-0.515236099472688,0.476825758497561,0.476825758497561,1,0.553623623862226,0.334146678481389,0.860547171161769,0.810138600402134
"./bio6_pha.bil",0.345149666007328,-0.249488008813572,-0.917485107580039,0.881166899867064,0.811440136201109,0.967403744911156,0.507232653306367,0.380706970820977,0.60053261219116,-0.601990429446198,0.361555888451537,0.607697987851336,0.51028974945344,0.602652595674863,-0.683619158460224,0.0854796652878845,0.0854796652878845,-0.253140615496699,-0.253140615496699,0.553623623862226,1,-0.599908965907612,0.767797447377666,0.900786391536683
"./bio7_pha.bil",-0.726471881860091,0.692263983029558,0.2605423998059,-0.165331122243516,-0.0366390922188621,-0.420415328689436,-0.742432335694184,-0.693108987644966,-0.619325941331543,0.535647011719937,-0.680282011966916,-0.647528936100665,-0.603232457442406,-0.70836579627014,0.907606543462645,-0.591750679326786,-0.591750679326786,0.744606262295347,0.744606262295347,0.334146678481389,-0.599908965907612,1,-0.042231259552777,-0.241176680197264
"./bio8_pha.bil",-0.103782422964485,0.223911462133666,-0.878254499300939,0.923678009643928,0.928836040718463,0.837147566358105,0.120879529383338,0.0280458482801808,0.259921026899457,-0.318249332340913,0.0112754398260194,0.239799465457532,0.33987906240796,0.166115215379028,-0.274165681227903,-0.424193890932764,-0.424193890932764,0.237178987573454,0.237178987573454,0.860547171161769,0.767797447377666,-0.042231259552777,1,0.85203439083794
"./bio9_pha.bil",0.033233012957254,0.0455086171555534,-0.964411755154009,0.971454843791718,0.947061172887553,0.950530084258432,0.287275411439271,0.148576553537988,0.469610798953057,-0.510759455894148,0.143395721590507,0.456324157463323,0.304150694928412,0.434038938140331,-0.361622736840801,-0.136051872709368,-0.136051872709368,0.057689707143835,0.057689707143835,0.810138600402134,0.900786391536683,-0.241176680197264,0.85203439083794,1
